[2024-02-18 13:00:57,295] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:00:58,279] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:03:48,665] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:03:50,131] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:04:47,587] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:04:48,670] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:05:46,154] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:05:47,627] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:07:04,140] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:07:05,339] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:07:16,135] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:07:17,461] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:07:27,576] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:07:28,519] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:07:40,374] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:07:41,325] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:07:52,488] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:07:53,515] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:08:00,107] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:08:01,310] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:08:05,328] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:08:06,148] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:08:27,693] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:08:29,107] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:08:35,824] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
[2024-02-18 13:08:36,997] 1027 httpx - INFO - HTTP Request: POST https://dp0303014.openai.azure.com//openai/deployments/dp140303/completions?api-version=2023-12-01-preview "HTTP/1.1 200 OK"
